,Isaiah_chapter,BoM_chapter
604,Isaiah 51:5,2 Nephi 10:20
605,Isaiah 52:8,Mosiah 15:29
606,Isaiah 51:5,1 Nephi 22:4
607,Isaiah 52:8,3 Nephi 16:18
608,Isaiah 51:5,2 Nephi 8:5
609,Isaiah 52:8,3 Nephi 20:32
610,Isaiah 51:5,2 Nephi 10:8
611,Isaiah 52:9,Mosiah 12:23
612,Isaiah 51:5,2 Nephi 29:7
613,Isaiah 52:9,Mosiah 15:30
614,Isaiah 51:8,2 Nephi 8:8
615,Isaiah 52:9,3 Nephi 16:19
616,Isaiah 51:10,2 Nephi 8:10
